groupId,artifactId,version,classifier,included-log4j-core-version,source
aero.t2s,mode-s,0.1.3,,2.13.1,directDependency
ai.api,libai,1.4.6,,2.2,directDependency
ai.eto,rikai_2.12,0.0.6,,2.13.0,directDependency
ai.eto,rikai_2.12,0.0.8,,2.13.0,directDependency
ai.eto,rikai_2.12,0.0.9,,2.13.0,directDependency
ai.eto,rikai_2.12,0.0.3,,2.13.0,directDependency
ai.eto,rikai_2.12,0.0.5,,2.13.0,directDependency
ai.eto,rikai_2.12,0.0.4,,2.13.0,directDependency
ai.eto,rikai_2.12,0.0.2,,2.13.0,directDependency
ai.eto,rikai_2.12,0.0.7,,2.13.0,directDependency
at.ac.ait.lablink,config,0.1.0,,2.11.2,directDependency
at.ac.ait.lablink,core,0.0.1,,2.7,directDependency
at.ac.ait.lablink.clients,fmusim,0.0.1,,2.7,directDependency
at.ac.ait.lablink.clients,opcuaclient,0.0.2,,2.7,directDependency
at.ac.ait.lablink.clients,plotter,0.0.2,,2.7,directDependency
at.ac.ait.lablink.clients,sync,0.0.1,,2.7,directDependency
at.ac.ait.lablink.clients,dpbridge,0.0.1,,2.7,directDependency
at.ac.ait.lablink.clients,csvclient,0.0.1,,2.7,directDependency
at.willhaben.willtest,core,3.1.5,,2.13.2,directDependency
at.willhaben.willtest,core,3.1.3,,2.11.1,directDependency
at.willhaben.willtest,core,3.1.6,,2.13.2,directDependency
at.willhaben.willtest,examples,3.1.10,,2.13.2,directDependency
at.willhaben.willtest,examples,3.1.4,,2.13.2,directDependency
at.willhaben.willtest,examples,3.1.5,,2.13.2,directDependency
at.willhaben.willtest,core,3.1.9,,2.13.2,directDependency
at.willhaben.willtest,examples,3.1.3,,2.12.1,directDependency
at.willhaben.willtest,examples,3.1.6,,2.13.2,directDependency
at.willhaben.willtest,examples,3.1.7,,2.13.2,directDependency
at.willhaben.willtest,core,3.1.10,,2.13.2,directDependency
at.willhaben.willtest,examples,3.1.9,,2.13.2,directDependency
at.willhaben.willtest,core,3.1.4,,2.13.2,directDependency
at.willhaben.willtest,core,3.1.7,,2.13.2,directDependency
at.willhaben.willtest,core,3.1.8,,2.13.2,directDependency
at.willhaben.willtest,examples,3.1.8,,2.13.2,directDependency
be.cylab.mark,server,2.3.0,,2.13.3,directDependency
be.cylab.mark,server,1.5.2,,2.13.3,directDependency
be.cylab.mark,server,1.4.0,,2.13.3,directDependency
be.cylab.mark,server,1.3.0,,2.13.3,directDependency
be.cylab.mark,server,1.0.0-RC1,,2.13.3,directDependency
be.cylab.mark,server,2.0.0,,2.13.3,directDependency
be.cylab.mark,server,1.2.0,,2.13.3,directDependency
be.cylab.mark,server,2.5.1,,2.13.3,directDependency
be.cylab.mark,server,2.5.0,,2.13.3,directDependency
be.cylab.mark,server,1.3.2,,2.13.3,directDependency
be.cylab.mark,server,1.5.0,,2.13.3,directDependency
be.cylab.mark,server,1.5.1,,2.13.3,directDependency
be.cylab.mark,server,2.2.0,,2.13.3,directDependency
be.cylab.mark,server,2.1.1,,2.13.3,directDependency
be.cylab.mark,server,2.2.1,,2.13.3,directDependency
be.cylab.mark,server,1.3.1,,2.13.3,directDependency
be.cylab.mark,server,2.2.2,,2.13.3,directDependency
be.cylab.mark,server,1.5.3,,2.13.3,directDependency
be.cylab.mark,server,2.5.3,,2.13.3,directDependency
be.cylab.mark,server,2.5.2,,2.13.3,directDependency
be.cylab.mark,server,1.1.0,,2.13.3,directDependency
be.cylab.mark,server,1.3.3-RC1,,2.13.3,directDependency
be.cytomine.client,cytomine-java-client,2.2.21,,2.14.1,directDependency
be.cytomine.client,cytomine-java-client,2.2.20,,2.14.1,directDependency
be.cytomine.client,cytomine-java-client,2.2.14,,2.14.1,directDependency
be.cytomine.client,cytomine-java-client,2.2.19,,2.14.1,directDependency
be.cytomine.client,cytomine-java-client,2.2.17,,2.14.1,directDependency
be.cytomine.client,cytomine-java-client,2.2.18,,2.14.1,directDependency
be.cytomine.client,cytomine-java-client,2.2.16,,2.14.1,directDependency
be.cytomine.client,cytomine-java-client,2.3.0,,2.14.1,directDependency
be.cytomine.client,cytomine-java-client,2.2.13,,2.14.1,directDependency
be.intersentia.elasticsearch,mapping_annotations,0.7.7,,2.13.2,directDependency
be.intersentia.elasticsearch,mapping_annotations,0.7.8,,2.13.2,directDependency
be.mogo.iam,mogo-provisioning,1.1.0.RELEASE,,2.12.1,directDependency
be.mogo.iam,mogo-provisioning,1.1.1.RELEASE,,2.12.1,directDependency
be.mogo.iam,mogo-provisioning,1.1.7.RELEASE,,2.12.1,directDependency
be.mogo.iam,mogo-provisioning,1.1.6.RELEASE,,2.12.1,directDependency
be.mogo.iam,mogo-provisioning,1.1.5.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.1.8.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.1.7.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.1.5.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.2.3.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.1.6.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.1.1.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.2.1.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.2.4.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.1.9.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.2.2.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.2.0.RELEASE,,2.12.1,directDependency
be.personify,personify-util,1.1.0.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-provisioning,1.1.9.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-frontend,1.2.4.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-frontend,1.2.2.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-frontend,1.2.0.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-provisioning,1.2.4.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-provisioning,1.1.8.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-api,1.2.4.RELEASE,,2.12.1,directDependency
be.personify.iam,personify-provisioning,1.2.3.RELEASE,,2.12.1,directDependency
